"timestamp","speed","accuracy","acceleration_magnitude","DFT_E1","DFT_E2","DFT_E3","mode"
1387969852,1.0525101,16,9.56533468258,91.4956275898,93.8690653858,101.314903552,"walking"
1387875037,0,150,11.9695880087,143.271037098,143.366904832,143.615949239,"stationary"
1387970004,0,16,10.1957592204,103.95350608,108.599399044,121.536914287,"walking"
1387974423,0,32,11.998235752,143.957661161,144.525195201,143.485931072,"stationary"
1387972962,0,6,9.98298009847,99.6598916464,123.12436321,123.12436321,"bus"
1388061091,0,24,10.0249245994,100.499113224,100.499113224,95.0102732226,"bus"
1387970755,0,858,11.6076768233,134.738161234,138.3977364,147.446796546,"auto"
1387870616,3.0490444,8,10.5209469761,110.690325274,111.636069848,114.476610955,"auto"
1387871190,1.1431746,16,16.6761029469,278.092409496,51.2945938909,112.529637809,"auto"
1388060927,0,16,14.7799216234,218.446083194,128.524344433,93.483806859,"bus"
1387974465,0,32,11.9855079828,143.652401606,143.634496134,143.418199265,"stationary"
1387970031,0,16,16.5741623812,274.702858638,255.132476171,219.064570341,"walking"
1387870868,3.5412216,12,11.0010811465,121.023786392,121.023786392,130.639087519,"auto"
1387972665,0,16,9.03092996556,81.5576960428,79.8634367019,75.3110302193,"bus"
1387869790,0,858,10.1074887078,102.161327978,102.161327978,116.006306735,"walking"
1387972357,0,16,9.67351714548,93.5769339639,93.5769339639,105.174956652,"bus"
1388059462,1.2491367,12,11.3393368069,128.58055922,147.239822068,137.79685997,"auto"
1387974473,0,32,11.9830834173,143.594288186,144.365378635,144.914887798,"stationary"
1388059496,5.8574977,24,10.1243755527,102.502980332,102.502980332,102.267519551,"auto"
1387874919,0,24,12.1224960869,146.954911377,147.109931663,147.197147293,"stationary"
1387871646,0,24,10.2257178467,104.56530548,108.925241934,104.758135144,"bus"
1387871081,9.259023,8,12.104518056,146.519357368,199.362560513,174.708174132,"auto"
1387869526,1.1247878,8,12.9456463425,167.589759225,172.403427552,168.095312861,"walking"
1387875308,0,32,11.9740690632,143.37832993,143.37832993,143.37832993,"stationary"
1387874773,0,858,11.9871154558,143.690936951,143.466959043,142.977353395,"stationary"
1387875258,0,32,11.9596555564,143.033361028,144.415378636,143.03735925,"stationary"
1387869686,0,858,5.63340123662,31.7352094928,25.014508476,27.4016310086,"walking"
1387871061,6.964149,12,12.5315094373,157.038728777,157.368821415,154.64042595,"auto"
1387974855,0,32,11.9052216754,141.73430314,142.288853177,142.641665177,"stationary"
1387974635,0,32,11.9463311801,142.714828665,142.172024441,143.148553953,"stationary"
1388058836,0,16,11.5836229054,134.180319615,96.3818505429,107.355563396,"auto"
1387870543,2.2149677,8,12.3778590193,153.211393902,153.211393902,142.45624694,"auto"
1387970775,6.7222733,6,12.0102890207,144.247042361,142.432731233,148.462501709,"auto"
1388058879,2.2428694,12,11.9666921661,143.201721398,146.340282456,142.107383632,"auto"
1387969364,0.9669116,12,10.3938471204,108.032057962,127.247491549,133.913550466,"walking"
1387869670,0,8,11.7631493456,138.371682527,127.288256599,126.524383055,"walking"
1388057709,0,902,11.7614707436,138.332194053,142.687957609,143.364284591,"walking"
1387870996,0,16,12.0095674857,144.229711194,144.229711194,149.995433862,"auto"
1387875318,0,32,11.966084864,143.187186972,143.187186972,143.522521007,"stationary"
1388059090,6.6176896,12,9.9132432229,98.2723911964,96.2943458523,117.157858063,"auto"
1388057412,0.87246484,16,10.024286701,100.486323864,199.588616544,194.652519996,"walking"
